time;tension;current
0;-519.575683976894;0.005810169523146
0.0005;-504.282367090049;0.789571463306663
0.001;-450.317574330429;1.52818229376174
0.0015;-367.971431876382;2.13879659408238
0.002;-271.621461687229;2.6121468360969
0.0025;-168.862767882538;2.91353817586629
0.003;-67.951470709843;3.05072553057961
0.0035;16.2433011858128;3.04965314015457
0.004;78.0248954429069;2.94587777996906
0.0045;121.674987922261;2.76580407738426
0.005;144.018635580559;2.5515328075633
0.0055;152.660420398773;2.32991972300505
0.006;153.561443228793;2.11552047699065
0.0065;156.579919468463;1.90876877732291
0.007;160.22450917505;1.705028767675
0.0075;172.198493905273;1.50247919680343
0.008;186.302182463466;1.26861271583166
0.0085;206.45033880032;0.996472569351
0.009;225.184292832993;0.694983122418522
0.0095;239.051151706028;0.353284091332286
0.01;241.212642110052;0.00910793881001
0.0105;238.11519048421;-0.343362399540301
0.011;224.344047330432;-0.683340883166809
0.0115;210.014167305887;-0.98551384671305
0.012;186.680271629822;-1.2571952539101
0.0125;174.059296314089;-1.48311574429346
0.013;163.869678097527;-1.7004446552515
0.0135;156.393234675666;-1.89545239376238
0.014;154.993837819306;-2.10731395155922
0.0145;155.623879348591;-2.32115016531797
0.015;141.606511558112;-2.53920764033439
0.0155;119.625162087093;-2.75738045195532
0.016;78.6183522690465;-2.93652401876386
0.0165;11.8686189434705;-3.03866364820013
0.017;-69.6646494219492;-3.03999751831621
0.0175;-166.535207294477;-2.90664727914414
0.018;-272.627673802434;-2.60023150412156
0.0185;-368.628574399299;-2.12869416604854
0.019;-448.512793735673;-1.51698421225601
0.0195;-501.687373446281;-0.783592004339761
0.02;-519.403220676643;0.007211550074566
0.0205;-502.160072521867;0.792427378713439
0.021;-448.535421532462;1.52062613001304
0.0215;-370.81700655196;2.13582492782172
0.022;-270.605268134016;2.60985357695841
0.0225;-168.876333124717;2.91592285297304
0.023;-68.6106628473848;3.05122821622402
0.0235;12.1812752126333;3.05104371909933
0.024;76.2709384329284;2.94026353736301
0.0245;119.144287592358;2.76801214703414
0.025;143.641845295059;2.55019466515335
0.0255;154.962295485744;2.32710485260258
0.026;157.718626798674;2.11518409629459
0.0265;158.668434489811;1.90573336216969
0.027;160.355981865755;1.70647362526978
0.0275;171.721917194674;1.49607824838969
0.028;189.097766381733;1.26029309086006
0.0285;205.458142779381;0.998906903450672
0.029;224.342043704404;0.69071333303109
0.0295;240.472816171021;0.355990633572503
0.03;240.564126226206;0.006103639822425
0.0305;237.328159089156;-0.345149044249737
0.031;225.106011919647;-0.681391837161856
0.0315;208.282688593286;-0.989999624967328
0.032;188.251115432932;-1.25410457882844
0.0325;171.742761113324;-1.48451852337166
0.033;160.662576529281;-1.69662636946881
0.0335;155.652036520675;-1.90098110153331
0.034;156.984432430532;-2.0981991718805
